timeahead,1:1,1:1_std,balanced,balanced_std,1:10,1:10_std,1:50,1:50_std
300,0.96091182,0.03105312,0.49059569,0.12038104,0.73753489,0.12245446,0.55381979,0.1066604
400,0.94995483,0.02449733,0.60257219,0.07431191,0.77214842,0.06740213,0.65147895,0.06743198
500,0.88063715,0.06225275,0.60332601,0.06746261,0.70119233,0.08199372,0.54711718,0.05742867
600,0.90609965,0.02801483,0.56357011,0.04553308,0.68591231,0.05330485,0.5195727,0.03976259
700,0.88180449,0.02982401,0.49925492,0.02843899,0.60765278,0.03651219,0.42776503,0.03518803
800,0.86353737,0.03144362,0.46309689,0.02371895,0.55366032,0.03874694,0.37260725,0.03142427
900,0.84013915,0.0299332,0.41972468,0.0342782,0.49756537,0.03251311,0.30720669,0.03253634
1000,0.84247328,0.03116718,0.40553097,0.02862621,0.47322988,0.02604631,0.27810064,0.0152948
1100,0.85752858,0.03916297,0.38660997,0.02300378,0.44871229,0.03159275,0.25408782,0.02344993
1200,0.83932787,0.03287296,0.37033562,0.018791,0.40265676,0.02104317,0.22954385,0.01141557